epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.311,1.25197,2.06367,1.15523,0.23134,0.47527,0.14493,0.08671,0.88204,4.7777,0.95705,0.000369346,0.000369346,0.000369346
2,473.902,0.95573,1.36003,0.98446,0.21261,0.61966,0.19938,0.13485,0.81299,8.93815,0.90878,0.000666451,0.000666451,0.000666451
3,736.027,0.87745,1.22808,0.94926,0.20193,0.5928,0.19556,0.14151,0.71797,7.03004,0.89083,0.00089023,0.00089023,0.00089023
4,1001.53,0.81841,1.15356,0.92732,0.22095,0.63148,0.2268,0.16455,0.75209,7.05069,0.87705,0.000781033,0.000781033,0.000781033
5,1258.52,0.77116,1.07632,0.91076,0.21821,0.64336,0.23355,0.17429,0.6195,9.12853,0.85279,0.000671044,0.000671044,0.000671044
6,1515.45,0.7226,1.02445,0.89762,0.2256,0.68785,0.24111,0.18588,0.58586,8.57121,0.84318,0.000561055,0.000561055,0.000561055
7,1771.56,0.69233,0.99861,0.88908,0.22803,0.69026,0.2473,0.19377,0.56085,7.28793,0.83813,0.000451066,0.000451066,0.000451066
8,2031.61,0.66631,0.95295,0.88278,0.22663,0.76405,0.24435,0.19691,0.54084,10.5855,0.83099,0.000341077,0.000341077,0.000341077
9,2325.45,0.65541,0.9396,0.87594,0.23179,0.75386,0.25497,0.20582,0.49965,10.4683,0.82459,0.000231088,0.000231088,0.000231088
10,2604.24,0.62122,0.93117,0.86654,0.23176,0.78969,0.26724,0.21784,0.48594,9.96865,0.81977,0.000121099,0.000121099,0.000121099
